Learning_rate,N_estimators,Min_samples_split,Min_samples_leaf,Max_depth,MMRE-
0.001,350,10,1,20,25.351940000000003
0.001,350,10,1,30,25.351940000000003
0.001,350,10,1,100,25.351940000000003
0.001,350,10,5,5,25.60536
0.001,350,10,5,10,25.34762
0.001,350,10,5,20,25.34784
0.001,350,10,5,30,25.34784
0.001,350,10,5,100,25.34784
0.001,350,10,10,5,25.61316
0.001,350,10,10,10,25.37218
0.001,350,10,10,20,25.37218
0.001,350,10,10,30,25.37218
0.001,350,10,10,100,25.37218
0.001,350,10,20,5,25.63014
0.001,350,10,20,10,25.51212
0.001,350,10,20,20,25.51212
0.001,350,10,20,30,25.51212
0.001,350,10,20,100,25.51212
0.001,350,20,1,5,25.605380000000004
0.001,350,20,1,10,25.34494
0.001,350,20,1,20,25.34494
0.001,350,20,1,30,25.34494
0.001,350,20,1,100,25.34494
0.001,350,20,5,5,25.606960000000004
0.001,350,20,5,10,25.34808
0.001,350,20,5,20,25.34808
0.001,350,20,5,30,25.34808
0.001,350,20,5,100,25.34808
0.001,350,20,10,5,25.61316
0.001,350,20,10,10,25.37218
0.001,350,20,10,20,25.37218
0.001,350,20,10,30,25.37218
0.001,350,20,10,100,25.37218
0.001,350,20,20,5,25.63014
0.001,350,20,20,10,25.51212
0.001,350,20,20,20,25.51212
0.001,350,20,20,30,25.51212
0.001,350,20,20,100,25.51212
0.001,350,40,1,5,25.627459999999996
0.001,350,40,1,10,25.5053
0.001,350,40,1,20,25.5053
0.001,350,40,1,30,25.5053
0.001,350,40,1,100,25.5053
0.001,350,40,5,5,25.627459999999996
0.001,350,40,5,10,25.5053
0.001,350,40,5,20,25.5053
0.001,350,40,5,30,25.5053
0.001,350,40,5,100,25.5053
0.001,350,40,10,5,25.629640000000002
0.001,350,40,10,10,25.5075
0.001,350,40,10,20,25.5075
0.001,350,40,10,30,25.5075
0.001,350,40,10,100,25.5075
0.001,350,40,20,5,25.63014
0.001,350,40,20,10,25.51212
0.001,350,40,20,20,25.51212
0.001,350,40,20,30,25.51212
0.001,350,40,20,100,25.51212
0.001,500,2,1,5,22.311
0.001,500,2,1,10,21.988319999999998
0.001,500,2,1,20,21.99556
0.001,500,2,1,30,21.99562
0.001,500,2,1,100,21.995520000000003
0.001,500,2,5,5,22.3123
0.001,500,2,5,10,21.90124
0.001,500,2,5,20,21.90144
0.001,500,2,5,30,21.90144
0.001,500,2,5,100,21.90144
0.001,500,2,10,5,22.32172
0.001,500,2,10,10,21.9324
0.001,500,2,10,20,21.9324
0.001,500,2,10,30,21.9324
0.001,500,2,10,100,21.9324
0.001,500,2,20,5,22.33546
0.001,500,2,20,10,22.10764
0.001,500,2,20,20,22.10764
0.001,500,2,20,30,22.10764
0.001,500,2,20,100,22.10764
0.001,500,6,1,5,22.31014
0.001,500,6,1,10,21.924259999999997
0.001,500,6,1,20,21.916539999999998
0.001,500,6,1,30,21.916539999999998
0.001,500,6,1,100,21.91652
0.001,500,6,5,5,22.3123
0.001,500,6,5,10,21.90124
0.001,500,6,5,20,21.90144
0.001,500,6,5,30,21.90144
0.001,500,6,5,100,21.90144
0.001,500,6,10,5,22.32172
0.001,500,6,10,10,21.9324
0.001,500,6,10,20,21.9324
0.001,500,6,10,30,21.9324
0.001,500,6,10,100,21.9324
0.001,500,6,20,5,22.33546
0.001,500,6,20,10,22.10764
