n_neighbors,weights,algorithm,leaf_size,p,MMRE-
7,distance,kd_tree,10,1,21.40216
7,distance,kd_tree,10,2,24.75262
7,distance,kd_tree,20,1,21.37256
7,distance,kd_tree,20,2,24.6664
7,distance,kd_tree,30,1,21.46246
7,distance,kd_tree,30,2,24.70016
7,distance,kd_tree,40,1,21.46246
7,distance,kd_tree,40,2,24.70016
7,distance,kd_tree,50,1,21.46246
7,distance,kd_tree,50,2,24.70016
7,distance,kd_tree,100,1,21.28046
7,distance,kd_tree,100,2,24.64454
7,distance,brute,10,1,21.477619999999998
7,distance,brute,10,2,24.8137
7,distance,brute,20,1,21.477619999999998
7,distance,brute,20,2,24.8137
7,distance,brute,30,1,21.477619999999998
7,distance,brute,30,2,24.8137
7,distance,brute,40,1,21.477619999999998
7,distance,brute,40,2,24.8137
7,distance,brute,50,1,21.477619999999998
7,distance,brute,50,2,24.8137
7,distance,brute,100,1,21.477619999999998
7,distance,brute,100,2,24.8137
9,uniform,auto,10,1,23.458660000000002
9,uniform,auto,10,2,25.511039999999998
9,uniform,auto,20,1,23.38356
9,uniform,auto,20,2,25.42838
9,uniform,auto,30,1,23.432740000000003
9,uniform,auto,30,2,25.506760000000003
9,uniform,auto,40,1,23.432740000000003
9,uniform,auto,40,2,25.506760000000003
9,uniform,auto,50,1,23.432740000000003
9,uniform,auto,50,2,25.506760000000003
9,uniform,auto,100,1,23.36328
9,uniform,auto,100,2,25.4542
9,uniform,ball_tree,10,1,23.56822
9,uniform,ball_tree,10,2,25.504820000000002
9,uniform,ball_tree,20,1,23.454459999999997
9,uniform,ball_tree,20,2,25.43076
9,uniform,ball_tree,30,1,23.491840000000003
9,uniform,ball_tree,30,2,25.535220000000002
9,uniform,ball_tree,40,1,23.491840000000003
9,uniform,ball_tree,40,2,25.535220000000002
9,uniform,ball_tree,50,1,23.491840000000003
9,uniform,ball_tree,50,2,25.535220000000002
9,uniform,ball_tree,100,1,23.46018
9,uniform,ball_tree,100,2,25.48002
9,uniform,kd_tree,10,1,23.458660000000002
9,uniform,kd_tree,10,2,25.511039999999998
9,uniform,kd_tree,20,1,23.38356
9,uniform,kd_tree,20,2,25.42838
9,uniform,kd_tree,30,1,23.432740000000003
9,uniform,kd_tree,30,2,25.506760000000003
9,uniform,kd_tree,40,1,23.432740000000003
9,uniform,kd_tree,40,2,25.506760000000003
9,uniform,kd_tree,50,1,23.432740000000003
9,uniform,kd_tree,50,2,25.506760000000003
9,uniform,kd_tree,100,1,23.36328
9,uniform,kd_tree,100,2,25.4542
9,uniform,brute,10,1,23.494500000000002
9,uniform,brute,10,2,26.015800000000002
9,uniform,brute,20,1,23.494500000000002
9,uniform,brute,20,2,26.015800000000002
9,uniform,brute,30,1,23.494500000000002
9,uniform,brute,30,2,26.015800000000002
9,uniform,brute,40,1,23.494500000000002
9,uniform,brute,40,2,26.015800000000002
9,uniform,brute,50,1,23.494500000000002
9,uniform,brute,50,2,26.015800000000002
9,uniform,brute,100,1,23.494500000000002
9,uniform,brute,100,2,26.015800000000002
9,distance,auto,10,1,22.14824
9,distance,auto,10,2,24.49698
9,distance,auto,20,1,22.100540000000002
9,distance,auto,20,2,24.43054
9,distance,auto,30,1,22.133999999999997
9,distance,auto,30,2,24.49078
9,distance,auto,40,1,22.133999999999997
9,distance,auto,40,2,24.49078
9,distance,auto,50,1,22.133999999999997
9,distance,auto,50,2,24.49078
9,distance,auto,100,1,22.102359999999997
9,distance,auto,100,2,24.44714
9,distance,ball_tree,10,1,22.2098
9,distance,ball_tree,10,2,24.493280000000002
9,distance,ball_tree,20,1,22.136740000000003
9,distance,ball_tree,20,2,24.4324
9,distance,ball_tree,30,1,22.16378
9,distance,ball_tree,30,2,24.507519999999996
9,distance,ball_tree,40,1,22.16378
9,distance,ball_tree,40,2,24.507519999999996
9,distance,ball_tree,50,1,22.16378
9,distance,ball_tree,50,2,24.507519999999996
9,distance,ball_tree,100,1,22.15444
9,distance,ball_tree,100,2,24.46452
9,distance,kd_tree,10,1,22.14824
9,distance,kd_tree,10,2,24.49698
9,distance,kd_tree,20,1,22.100540000000002
9,distance,kd_tree,20,2,24.43054
9,distance,kd_tree,30,1,22.133999999999997
9,distance,kd_tree,30,2,24.49078
9,distance,kd_tree,40,1,22.133999999999997
9,distance,kd_tree,40,2,24.49078
9,distance,kd_tree,50,1,22.133999999999997
9,distance,kd_tree,50,2,24.49078
9,distance,kd_tree,100,1,22.102359999999997
9,distance,kd_tree,100,2,24.44714
9,distance,brute,10,1,22.16754
9,distance,brute,10,2,24.603360000000002
9,distance,brute,20,1,22.16754
9,distance,brute,20,2,24.603360000000002
9,distance,brute,30,1,22.16754
9,distance,brute,30,2,24.603360000000002
9,distance,brute,40,1,22.16754
9,distance,brute,40,2,24.603360000000002
9,distance,brute,50,1,22.16754
9,distance,brute,50,2,24.603360000000002
9,distance,brute,100,1,22.16754
9,distance,brute,100,2,24.603360000000002
10,uniform,auto,10,1,23.416959999999996
10,uniform,auto,10,2,25.35736
10,uniform,auto,20,1,23.322160000000004
10,uniform,auto,20,2,25.3803
10,uniform,auto,30,1,23.527140000000003
10,uniform,auto,30,2,25.3458
10,uniform,auto,40,1,23.527140000000003
10,uniform,auto,40,2,25.3458
10,uniform,auto,50,1,23.527140000000003
10,uniform,auto,50,2,25.3458
10,uniform,auto,100,1,23.31458
10,uniform,auto,100,2,25.32262
10,uniform,ball_tree,10,1,23.47956
10,uniform,ball_tree,10,2,25.42512
10,uniform,ball_tree,20,1,23.4422
10,uniform,ball_tree,20,2,25.410140000000006
10,uniform,ball_tree,30,1,23.638419999999996
10,uniform,ball_tree,30,2,25.386059999999997
10,uniform,ball_tree,40,1,23.638419999999996
10,uniform,ball_tree,40,2,25.386059999999997
10,uniform,ball_tree,50,1,23.638419999999996
10,uniform,ball_tree,50,2,25.386059999999997
10,uniform,ball_tree,100,1,23.44768
10,uniform,ball_tree,100,2,25.3517
10,uniform,kd_tree,10,1,23.416959999999996
10,uniform,kd_tree,10,2,25.35736
10,uniform,kd_tree,20,1,23.322160000000004
10,uniform,kd_tree,20,2,25.3803
10,uniform,kd_tree,30,1,23.527140000000003
10,uniform,kd_tree,30,2,25.3458
10,uniform,kd_tree,40,1,23.527140000000003
10,uniform,kd_tree,40,2,25.3458
10,uniform,kd_tree,50,1,23.527140000000003
10,uniform,kd_tree,50,2,25.3458
10,uniform,kd_tree,100,1,23.31458
10,uniform,kd_tree,100,2,25.32262
10,uniform,brute,10,1,23.49622
10,uniform,brute,10,2,25.944139999999997
10,uniform,brute,20,1,23.49622
10,uniform,brute,20,2,25.944139999999997
10,uniform,brute,30,1,23.49622
10,uniform,brute,30,2,25.944139999999997
10,uniform,brute,40,1,23.49622
10,uniform,brute,40,2,25.944139999999997
10,uniform,brute,50,1,23.49622
10,uniform,brute,50,2,25.944139999999997
10,uniform,brute,100,1,23.49622
10,uniform,brute,100,2,25.944139999999997
10,distance,auto,10,1,22.255380000000002
10,distance,auto,10,2,24.48594
10,distance,auto,20,1,22.205840000000002
10,distance,auto,20,2,24.4913
10,distance,auto,30,1,22.300079999999998
10,distance,auto,30,2,24.47926
10,distance,auto,40,1,22.300079999999998
10,distance,auto,40,2,24.47926
10,distance,auto,50,1,22.300079999999998
10,distance,auto,50,2,24.47926
10,distance,auto,100,1,22.188740000000003
10,distance,auto,100,2,24.46256
10,distance,ball_tree,10,1,22.27462
10,distance,ball_tree,10,2,24.52074
10,distance,ball_tree,20,1,22.26748
10,distance,ball_tree,20,2,24.50698
10,distance,ball_tree,30,1,22.356900000000003
10,distance,ball_tree,30,2,24.505779999999998
10,distance,ball_tree,40,1,22.356900000000003
10,distance,ball_tree,40,2,24.505779999999998
10,distance,ball_tree,50,1,22.356900000000003
10,distance,ball_tree,50,2,24.505779999999998
10,distance,ball_tree,100,1,22.259539999999998
10,distance,ball_tree,100,2,24.48112
10,distance,kd_tree,10,1,22.255380000000002
10,distance,kd_tree,10,2,24.48594
10,distance,kd_tree,20,1,22.205840000000002
10,distance,kd_tree,20,2,24.4913
10,distance,kd_tree,30,1,22.300079999999998
10,distance,kd_tree,30,2,24.47926
10,distance,kd_tree,40,1,22.300079999999998
10,distance,kd_tree,40,2,24.47926
10,distance,kd_tree,50,1,22.300079999999998
10,distance,kd_tree,50,2,24.47926
10,distance,kd_tree,100,1,22.188740000000003
10,distance,kd_tree,100,2,24.46256
10,distance,brute,10,1,22.29172
10,distance,brute,10,2,24.65784
10,distance,brute,20,1,22.29172
10,distance,brute,20,2,24.65784
10,distance,brute,30,1,22.29172
10,distance,brute,30,2,24.65784
10,distance,brute,40,1,22.29172
10,distance,brute,40,2,24.65784
10,distance,brute,50,1,22.29172
10,distance,brute,50,2,24.65784
10,distance,brute,100,1,22.29172
10,distance,brute,100,2,24.65784
13,uniform,auto,10,1,24.48006
13,uniform,auto,10,2,26.799059999999997
13,uniform,auto,20,1,24.331380000000003
13,uniform,auto,20,2,26.717420000000004
13,uniform,auto,30,1,24.46694
13,uniform,auto,30,2,26.798920000000003
13,uniform,auto,40,1,24.46694
13,uniform,auto,40,2,26.798920000000003
13,uniform,auto,50,1,24.46694
13,uniform,auto,50,2,26.798920000000003
13,uniform,auto,100,1,24.356100000000005
13,uniform,auto,100,2,26.751240000000003
13,uniform,ball_tree,10,1,24.55548
13,uniform,ball_tree,10,2,26.825619999999997
13,uniform,ball_tree,20,1,24.40694
13,uniform,ball_tree,20,2,26.754640000000002
13,uniform,ball_tree,30,1,24.5913
13,uniform,ball_tree,30,2,26.8362
13,uniform,ball_tree,40,1,24.5913
13,uniform,ball_tree,40,2,26.8362
13,uniform,ball_tree,50,1,24.5913
13,uniform,ball_tree,50,2,26.8362
13,uniform,ball_tree,100,1,24.426399999999997
13,uniform,ball_tree,100,2,26.7887
13,uniform,kd_tree,10,1,24.48006
13,uniform,kd_tree,10,2,26.799059999999997
13,uniform,kd_tree,20,1,24.331380000000003
13,uniform,kd_tree,20,2,26.717420000000004
13,uniform,kd_tree,30,1,24.46694
13,uniform,kd_tree,30,2,26.798920000000003
13,uniform,kd_tree,40,1,24.46694
13,uniform,kd_tree,40,2,26.798920000000003
13,uniform,kd_tree,50,1,24.46694
13,uniform,kd_tree,50,2,26.798920000000003
13,uniform,kd_tree,100,1,24.356100000000005
13,uniform,kd_tree,100,2,26.751240000000003
13,uniform,brute,10,1,24.456220000000002
13,uniform,brute,10,2,27.1881
13,uniform,brute,20,1,24.456220000000002
13,uniform,brute,20,2,27.1881
13,uniform,brute,30,1,24.456220000000002
13,uniform,brute,30,2,27.1881
13,uniform,brute,40,1,24.456220000000002
13,uniform,brute,40,2,27.1881
13,uniform,brute,50,1,24.456220000000002
13,uniform,brute,50,2,27.1881
13,uniform,brute,100,1,24.456220000000002
13,uniform,brute,100,2,27.1881
13,distance,auto,10,1,23.03334
13,distance,auto,10,2,25.57072
13,distance,auto,20,1,22.9603
13,distance,auto,20,2,25.506400000000003
13,distance,auto,30,1,23.04456
13,distance,auto,30,2,25.563679999999998
13,distance,auto,40,1,23.04456
13,distance,auto,40,2,25.563679999999998
13,distance,auto,50,1,23.04456
13,distance,auto,50,2,25.563679999999998
13,distance,auto,100,1,22.9781
13,distance,auto,100,2,25.524880000000003
13,distance,ball_tree,10,1,23.07978
13,distance,ball_tree,10,2,25.583639999999995
13,distance,ball_tree,20,1,23.002580000000002
13,distance,ball_tree,20,2,25.530720000000002
13,distance,ball_tree,30,1,23.107120000000002
13,distance,ball_tree,30,2,25.58614
13,distance,ball_tree,40,1,23.107120000000002
13,distance,ball_tree,40,2,25.58614
13,distance,ball_tree,50,1,23.107120000000002
13,distance,ball_tree,50,2,25.58614
13,distance,ball_tree,100,1,23.01828
13,distance,ball_tree,100,2,25.548319999999997
13,distance,kd_tree,10,1,23.03334
13,distance,kd_tree,10,2,25.57072
13,distance,kd_tree,20,1,22.9603
13,distance,kd_tree,20,2,25.506400000000003
13,distance,kd_tree,30,1,23.04456
13,distance,kd_tree,30,2,25.563679999999998
13,distance,kd_tree,40,1,23.04456
13,distance,kd_tree,40,2,25.563679999999998
13,distance,kd_tree,50,1,23.04456
13,distance,kd_tree,50,2,25.563679999999998
13,distance,kd_tree,100,1,22.9781
13,distance,kd_tree,100,2,25.524880000000003
13,distance,brute,10,1,23.00596
13,distance,brute,10,2,25.54614
13,distance,brute,20,1,23.00596
13,distance,brute,20,2,25.54614
13,distance,brute,30,1,23.00596
13,distance,brute,30,2,25.54614
13,distance,brute,40,1,23.00596
13,distance,brute,40,2,25.54614
13,distance,brute,50,1,23.00596
13,distance,brute,50,2,25.54614
13,distance,brute,100,1,23.00596
13,distance,brute,100,2,25.54614
15,uniform,auto,10,1,25.360519999999998
15,uniform,auto,10,2,28.219299999999997
15,uniform,auto,20,1,25.292099999999998
15,uniform,auto,20,2,28.17364
15,uniform,auto,30,1,25.345940000000002
15,uniform,auto,30,2,28.15636
15,uniform,auto,40,1,25.345940000000002
15,uniform,auto,40,2,28.15636
15,uniform,auto,50,1,25.345940000000002
15,uniform,auto,50,2,28.15636
15,uniform,auto,100,1,25.3099
15,uniform,auto,100,2,28.188940000000002
15,uniform,ball_tree,10,1,25.34434
15,uniform,ball_tree,10,2,28.1971
15,uniform,ball_tree,20,1,25.37584
