n_neighbors,weights,algorithm,leaf_size,p,MMRE-
9,uniform,ball_tree,40,1,8.98942
9,uniform,ball_tree,40,2,9.26272
9,uniform,ball_tree,50,1,8.98942
9,uniform,ball_tree,50,2,9.26272
9,uniform,ball_tree,100,1,8.98942
9,uniform,ball_tree,100,2,9.262719999999998
9,uniform,kd_tree,10,1,8.98942
9,uniform,kd_tree,10,2,9.262739999999999
9,uniform,kd_tree,20,1,8.98942
9,uniform,kd_tree,20,2,9.262739999999999
9,uniform,kd_tree,30,1,8.98942
9,uniform,kd_tree,30,2,9.262739999999999
9,uniform,kd_tree,40,1,8.98942
9,uniform,kd_tree,40,2,9.262739999999999
9,uniform,kd_tree,50,1,8.98942
9,uniform,kd_tree,50,2,9.262739999999999
9,uniform,kd_tree,100,1,8.9894
9,uniform,kd_tree,100,2,9.262739999999999
9,uniform,brute,10,1,8.98942
9,uniform,brute,10,2,9.262739999999999
9,uniform,brute,20,1,8.98942
9,uniform,brute,20,2,9.262739999999999
9,uniform,brute,30,1,8.98942
9,uniform,brute,30,2,9.262739999999999
9,uniform,brute,40,1,8.98942
9,uniform,brute,40,2,9.262739999999999
9,uniform,brute,50,1,8.98942
9,uniform,brute,50,2,9.262739999999999
9,uniform,brute,100,1,8.98942
9,uniform,brute,100,2,9.262739999999999
9,distance,auto,10,1,6.986080000000001
9,distance,auto,10,2,7.211499999999999
9,distance,auto,20,1,6.986080000000001
9,distance,auto,20,2,7.211499999999999
9,distance,auto,30,1,6.986080000000001
9,distance,auto,30,2,7.211499999999999
9,distance,auto,40,1,6.986080000000001
9,distance,auto,40,2,7.21152
9,distance,auto,50,1,6.986080000000001
9,distance,auto,50,2,7.21152
9,distance,auto,100,1,6.986080000000001
9,distance,auto,100,2,7.211499999999999
9,distance,ball_tree,10,1,6.986080000000001
9,distance,ball_tree,10,2,7.211499999999999
9,distance,ball_tree,20,1,6.986080000000001
9,distance,ball_tree,20,2,7.211499999999999
9,distance,ball_tree,30,1,6.986080000000001
9,distance,ball_tree,30,2,7.211499999999999
9,distance,ball_tree,40,1,6.986080000000001
9,distance,ball_tree,40,2,7.211499999999999
9,distance,ball_tree,50,1,6.986080000000001
9,distance,ball_tree,50,2,7.211499999999999
9,distance,ball_tree,100,1,6.986080000000001
9,distance,ball_tree,100,2,7.211499999999999
9,distance,kd_tree,10,1,6.986080000000001
9,distance,kd_tree,10,2,7.211499999999999
9,distance,kd_tree,20,1,6.986080000000001
9,distance,kd_tree,20,2,7.211499999999999
9,distance,kd_tree,30,1,6.986080000000001
9,distance,kd_tree,30,2,7.211499999999999
9,distance,kd_tree,40,1,6.986080000000001
9,distance,kd_tree,40,2,7.21152
9,distance,kd_tree,50,1,6.986080000000001
9,distance,kd_tree,50,2,7.21152
9,distance,kd_tree,100,1,6.986080000000001
9,distance,kd_tree,100,2,7.211499999999999
9,distance,brute,10,1,6.986080000000001
9,distance,brute,10,2,7.211499999999999
9,distance,brute,20,1,6.986080000000001
9,distance,brute,20,2,7.211499999999999
9,distance,brute,30,1,6.986080000000001
9,distance,brute,30,2,7.211499999999999
9,distance,brute,40,1,6.986080000000001
9,distance,brute,40,2,7.211499999999999
9,distance,brute,50,1,6.986080000000001
