N_estimators,criterion,Max_depth,Min_samples_split,Min_samples_leaf,max_features,Min_impurity_decrease,Error-
10,squared_error,10,10,1,None,0.2,0.032
10,squared_error,10,10,1,None,0.3,0.032
10,squared_error,10,10,1,sqrt,0.0,0.098
10,squared_error,10,10,1,sqrt,0.1,0.09
10,squared_error,10,10,1,sqrt,0.2,0.092
10,squared_error,10,10,1,sqrt,0.3,0.092
10,squared_error,10,10,1,log2,0.0,0.086
10,squared_error,10,10,1,log2,0.1,0.08399999999999999
10,squared_error,10,10,1,log2,0.2,0.08
10,squared_error,10,10,1,log2,0.3,0.08800000000000001
10,squared_error,10,10,5,None,0.0,0.032
10,squared_error,10,10,5,None,0.1,0.032
10,squared_error,10,10,5,None,0.2,0.032
10,squared_error,10,10,5,None,0.3,0.032
10,squared_error,10,10,5,sqrt,0.0,0.084
10,squared_error,10,10,5,sqrt,0.1,0.084
10,squared_error,10,10,5,sqrt,0.2,0.092
10,squared_error,10,10,5,sqrt,0.3,0.09
10,squared_error,10,10,5,log2,0.0,0.084
10,squared_error,10,10,5,log2,0.1,0.098
10,squared_error,10,10,5,log2,0.2,0.094
10,squared_error,10,10,5,log2,0.3,0.094
10,squared_error,10,10,10,None,0.0,0.07200000000000001
10,squared_error,10,10,10,None,0.1,0.07
10,squared_error,10,10,10,None,0.2,0.068
10,squared_error,10,10,10,None,0.3,0.07
10,squared_error,10,10,10,sqrt,0.0,0.132
10,squared_error,10,10,10,sqrt,0.1,0.126
10,squared_error,10,10,10,sqrt,0.2,0.118
10,squared_error,10,10,10,sqrt,0.3,0.132
10,squared_error,10,10,10,log2,0.0,0.124
10,squared_error,10,10,10,log2,0.1,0.118
10,squared_error,10,10,10,log2,0.2,0.11200000000000002
10,squared_error,10,10,10,log2,0.3,0.128
10,squared_error,10,10,20,None,0.0,0.144
10,squared_error,10,10,20,None,0.1,0.148
10,squared_error,10,10,20,None,0.2,0.148
10,squared_error,10,10,20,None,0.3,0.15
10,squared_error,10,10,20,sqrt,0.0,0.14600000000000002
10,squared_error,10,10,20,sqrt,0.1,0.16
10,squared_error,10,10,20,sqrt,0.2,0.162
10,squared_error,10,10,20,sqrt,0.3,0.156
10,squared_error,10,10,20,log2,0.0,0.154
10,squared_error,10,10,20,log2,0.1,0.154
10,squared_error,10,10,20,log2,0.2,0.172
10,squared_error,10,10,20,log2,0.3,0.15400000000000003
10,squared_error,10,20,1,None,0.0,0.057999999999999996
10,squared_error,10,20,1,None,0.1,0.057999999999999996
10,squared_error,10,20,1,None,0.2,0.05800000000000001
10,squared_error,10,20,1,None,0.3,0.05800000000000001
10,squared_error,10,20,1,sqrt,0.0,0.11399999999999999
10,squared_error,10,20,1,sqrt,0.1,0.11200000000000002
10,squared_error,10,20,1,sqrt,0.2,0.11399999999999999
10,squared_error,10,20,1,sqrt,0.3,0.10999999999999999
10,squared_error,10,20,1,log2,0.0,0.11000000000000001
10,squared_error,10,20,1,log2,0.1,0.122
10,squared_error,10,20,1,log2,0.2,0.10999999999999999
10,squared_error,10,20,1,log2,0.3,0.10599999999999998
10,squared_error,10,20,5,None,0.0,0.057999999999999996
