N_estimators,Max_depth,Min_samples_split,Min_samples_leaf,max_features,Min_impurity_decrease,MMRE-
10,10,20,10,sqrt,0.2,85.76472
10,10,20,10,sqrt,0.3,77.22914
10,10,20,10,log2,0,94.9105
10,10,20,10,log2,0.1,73.9407
10,10,20,10,log2,0.2,69.54218
10,10,20,10,log2,0.3,100.66914
10,10,20,20,None,0,5.10958
10,10,20,20,None,0.1,5.17146
10,10,20,20,None,0.2,5.15364
10,10,20,20,None,0.3,5.13972
10,10,20,20,sqrt,0,132.62162
10,10,20,20,sqrt,0.1,106.90956
10,10,20,20,sqrt,0.2,125.12528
10,10,20,20,sqrt,0.3,133.46256
10,10,20,20,log2,0,103.40846
10,10,20,20,log2,0.1,118.762
10,10,20,20,log2,0.2,123.59118
10,10,20,20,log2,0.3,145.64022
10,10,40,1,None,0,4.65956
10,10,40,1,None,0.1,4.67866
10,10,40,1,None,0.2,4.62532
10,10,40,1,None,0.3,4.65386
10,10,40,1,sqrt,0,103.57992
10,10,40,1,sqrt,0.1,80.74494
10,10,40,1,sqrt,0.2,120.92474
10,10,40,1,sqrt,0.3,104.79932
10,10,40,1,log2,0,104.29558
10,10,40,1,log2,0.1,114.1483
10,10,40,1,log2,0.2,114.79974
10,10,40,1,log2,0.3,96.8845
10,10,40,5,None,0,4.66674
10,10,40,5,None,0.1,4.70778
10,10,40,5,None,0.2,4.66882
10,10,40,5,None,0.3,4.722
10,10,40,5,sqrt,0,116.3889
10,10,40,5,sqrt,0.1,102.41252
10,10,40,5,sqrt,0.2,85.14942
10,10,40,5,sqrt,0.3,113.23888
10,10,40,5,log2,0,94.08842
10,10,40,5,log2,0.1,97.95802
10,10,40,5,log2,0.2,88.6201
10,10,40,5,log2,0.3,112.40972
10,10,40,10,None,0,4.8334
10,10,40,10,None,0.1,4.88704
10,10,40,10,None,0.2,4.85842
10,10,40,10,None,0.3,4.90226
10,10,40,10,sqrt,0,93.65392
10,10,40,10,sqrt,0.1,89.16268
10,10,40,10,sqrt,0.2,99.36168
10,10,40,10,sqrt,0.3,103.63216
10,10,40,10,log2,0,122.31016
10,10,40,10,log2,0.1,89.55142
10,10,40,10,log2,0.2,97.02042
10,10,40,10,log2,0.3,110.7285
10,10,40,20,None,0,5.16686
10,10,40,20,None,0.1,5.23212
10,10,40,20,None,0.2,5.16952
10,10,40,20,None,0.3,5.1344
10,10,40,20,sqrt,0,147.54112
10,10,40,20,sqrt,0.1,155.10196
10,10,40,20,sqrt,0.2,100.60856
10,10,40,20,sqrt,0.3,121.10116
10,10,40,20,log2,0,142.98122
10,10,40,20,log2,0.1,149.67156
10,10,40,20,log2,0.2,123.98584
10,10,40,20,log2,0.3,129.43584
10,20,2,1,None,0,4.94976
10,20,2,1,None,0.1,4.96738
10,20,2,1,None,0.2,4.90942
10,20,2,1,None,0.3,4.9062
10,20,2,1,sqrt,0,16.19416
10,20,2,1,sqrt,0.1,17.86018
10,20,2,1,sqrt,0.2,16.69252
10,20,2,1,sqrt,0.3,17.30524
10,20,2,1,log2,0,19.79734
10,20,2,1,log2,0.1,15.10462
10,20,2,1,log2,0.2,17.10528
10,20,2,1,log2,0.3,15.55426
10,20,2,5,None,0,4.58914
10,20,2,5,None,0.1,4.63852
10,20,2,5,None,0.2,4.6025
10,20,2,5,None,0.3,4.5663
10,20,2,5,sqrt,0,49.73966
